id,tweet,airline_name,airline_sentiment
681455235,"@SouthwestAir Yes, total of 4 hours on hold. With all the Cancelled Flightlations, one would think there would be more staff. Decided to cx and drive",Southwest,negative
681455236,@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife,Southwest,negative
681455237,@SouthwestAir 2 wounded vets stuck. Hv trouble with agent help. On hold and no answer on Twitter. Pls respond,Southwest,negative
681455238,@SouthwestAir #3252 Manchester-BWI being delayed for one idiot who isn't on the plane?! We've waited 2 hours for our window and may miss it,Southwest,negative
681455240,@SouthwestAir I just wanna say you're incredible for sending people to see their idols. Sooooo kind and amazing__ê_ #DestinationDragons,Southwest,positive
681455241,@SouthwestAir 3 flights Cancelled Flightled today. Now we have been on hold for over an hour!,Southwest,negative
681455242,"@SouthwestAir really this is getting worse as the day goes on. Late Flight leaving then had to be diverted, and now sitting on the tarmac in VA.",Southwest,negative
681455243,"@SouthwestAir @CallMeStanley7 And bring back the ""Agent will call you back..."" feature. Why was that ever discontinued???",Southwest,negative
681455246,@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?,Southwest,negative
681455247,"@SouthwestAir standing in Las Vegas and our flight says on time, but reps are telling us that all flights to Denver are Cancelled Flightled. HELP",Southwest,negative
681455248,@SouthwestAir and @USAirways have Cancelled Flightled flights after 525 pm today due to winter storm. Travelers urged to contact carrier for info.,Southwest,neutral
681455249,@SouthwestAir is there any estimate on when the holding for you online will end? I'm at an hour and forty minutes now. I need to rebook!!!,Southwest,negative
681455251,"@SouthwestAir Sent your way, thanks for the help.",Southwest,positive
681455252,@SouthwestAir Any chance there's a few seats open from DEN to DAL this afternoon?,Southwest,neutral
681455253,@SouthwestAir the wait for the bags is longer than the actual flight.,Southwest,negative
681455255,@SouthwestAir   Where the heck are the bags for Chicago 408. It has been an hour,Southwest,negative
681455256,"@SouthwestAir departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU",Southwest,neutral
681455257,@SouthwestAir can u follow so I can DM a confirmation number I need confirmed to Cancelled Flight?,Southwest,neutral
681455259,@SouthwestAir why are the ticketing lines in Las Vegas so unorganized??  Mass craziness. Half of the ticketing stations unmanned.,Southwest,negative
681455261,@SouthwestAir fl 4158 Cancelled Flightled from Dallas to Austin. No one answering 800#.  Need help.,Southwest,negative
681455262,@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!,Southwest,negative
681455263,@southwestair y'all just Cancelled Flightled the flight i rebooked after 1st was Cancelled Flightled. help? I need to be in nyc. schedule more flights tomorrow!,Southwest,negative
681455265,@SouthwestAir my wife is trying to get a group of clients to their destination and just got disconnected after2 hours holding. Help.,Southwest,negative
681455266,@SouthwestAir could u put one here in Baltimore? http://t.co/vLCI2KV1IP,Southwest,neutral
681455267,"@SouthwestAir very confusing to receive ""your trip is around the corner!"" email when I already Cancelled Flightled the flight",Southwest,negative
681455269,@SouthwestAir have five people shown up yet,Southwest,neutral
681455270,@SouthwestAir Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice.  #happy #customer,Southwest,positive
681455272,@SouthwestAir  placed on hold for total of two hours today after flight was Cancelled Flightled. Online option not available. What to do?,Southwest,negative
681455273,@SouthwestAir no thanks,Southwest,neutral
681455274,@SouthwestAir I've been on hold for the last 2 hours - no progress #pleasehelp #stranded #whenitsnowsitpours #tgcyaLate Flightr,Southwest,negative
681455275,@SouthwestAir That's an awesome library.,Southwest,positive
681455276,"@SouthwestAir, answered right away for a new res, but can't rebook the people that were supposed to leave today? Worst customer service.",Southwest,negative
681455277,@SouthwestAir horrible flight!,Southwest,negative
681455279,@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek,Southwest,negative
681455280,@SouthwestAir Any way that I can get a receipt for a Cancelled Flightled portion of a roundtrip flight? Used the flight voucher just need receipt.,Southwest,neutral
681455281,@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?,Southwest,neutral
681455282,@SouthwestAir How to I rebook on-line when it keeps telling me that it's a reserv number for a past date (this morning)? Holding for 2hrs.,Southwest,negative
681455283,"@SouthwestAir Been on hold over 90 minutes. You can fly, but not answer the phone?",Southwest,negative
681455284,@SouthwestAir thanks so much just had to make a Cancelled Flightlation! I've sent u the info.,Southwest,positive
681455285,@SouthwestAir thanks. What's your opinion on chances of getting in okay tomorrow?,Southwest,neutral
681455286,"@SouthwestAir I fly back to Omaha for my grandmothers funeral, you Cancelled Flight my return flight and dont bother to notify me. Thanks a lot.",Southwest,negative
681455287,@SouthwestAir you just Cancelled Flightled my flight home so you better get me a private jet or something. I need to get home now,Southwest,negative
681455288,@SouthwestAir Since when did it become ok for a passenger to save 3 rows of seats for people with a Late Flightr boarding position?how rude!,Southwest,negative
681455295,"@SouthwestAir He is going to file a formal complaint, this should have never happened. Please direct us to the right department.",Southwest,negative
681455299,@SouthwestAir hire more customer service agents. And hour and a half is too long to hold,Southwest,negative
681455300,@SouthwestAir DM sent. Thanks for the help!,Southwest,positive
681455301,"@SouthwestAir, been on hold for an over an hour now - when can we expect some customer service? #disappointed",Southwest,negative
681455302,"@SouthwestAir I'm upset because we were lied to. Was told ice on runway, but EVERY other carrier was able to fly. Airport confirmed no ice!",Southwest,negative
681455303,@SouthwestAir @bgr1061 luv SWA myself and my employees use you always!!,Southwest,positive
681455307,@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry,Southwest,negative
681455308,@SouthwestAir can you follow and we'll proceed?,Southwest,neutral
681455309,"@SouthwestAir because according to the flight attendant my husband doesn't talk english, when the fact is that he understand and talks it",Southwest,negative
681455310,@SouthwestAir Bad enough that there is no seat assigned he's  seating at an exit seat and a male flight attendant removes him from there,Southwest,negative
681455313,@SouthwestAir thx - i managed to figure it out by trying diff confirmation #s as i booked. just annoying it's not readily available!,Southwest,negative
681455314,@SouthwestAir 2nd leg of trip Cancelled Flightled. Been on hold 1.5 hrs. Will we lose our $ if we don't speak to someone before first flight leaves?,Southwest,negative
681455315,@SouthwestAir I've been on hold almost an hour! I LUV y'all but #ImJustSaying http://t.co/t6fYyBHjhL,Southwest,negative
681455316,"@SouthwestAir I love you guys, but even Comcast has a better phone help system. A simple callback system would fix most of the problem...",Southwest,negative
681455317,@SouthwestAir is really gonna hear my mouth about this bag situation.,Southwest,negative
681455318,@SouthwestAir you guys need better communication to your customers. This is rude and unprofessional.,Southwest,negative
681455319,@SouthwestAir I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.,Southwest,negative
681455320,@SouthwestAir any official word whether flight 3403 from BWI to Manchester is Cancelled Flightled? I've got an 8hr drive in snow if it is __Û¢,Southwest,neutral
681455321,.@SouthwestAir received an error online and have been on hold for over 1.5 hours. Completely unacceptable.,Southwest,negative
681455323,@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday,Southwest,positive
681455326,@SouthwestAir  when you take my money and do not provide a service makes for a profitable venture for your company. #IsItTheGaryKellyWay?,Southwest,negative
681455327,@SouthwestAir when does today's scavenger hunt start? I'm trying to help my little brother win! #DestinationDragons,Southwest,neutral
681455330,@SouthwestAir trying to get anyone on phone. Flt Cancelled Flighted. Please get me to Denver.,Southwest,negative
681455332,@SouthwestAir trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. http://t.co/0BJNz4EIX5,Southwest,negative
681455333,@SouthwestAir You guys are just being disrespectful at this point... learned my lesson about this airline,Southwest,negative
681455335,@SouthwestAir Pls help. On hold 4 long time now. Travelling 4 business and flight 2 ORF from MCI was Cancelled Flightled.  Need to get out there ASAP.,Southwest,negative
681455336,@SouthwestAir greetings,Southwest,neutral
681455337,@SouthwestAir Thank u Thank u Thank u for coming through for us! I sincerely didn't think it would happen. &lt;3 #SWA #THANKYOU,Southwest,positive
681455338,"@SouthwestAir On hold over 2 hrs and got cutoff !Cancelled Flightled my flight, now can't get to booked cruise in Florida! Terrible customer service!",Southwest,negative
681455339,@SouthwestAir I've been on hold for over an hour and counting_Ü_just need a simple name change http://t.co/5Siczx1oez,Southwest,negative
681455340,@SouthwestAir LOST Kay Chapman Designs art-luggage for important show. Won't help locate it. Terrible customer service.,Southwest,negative
681455341,@SouthwestAir been on hold for over an hour to speak to a customer service rep. What the heck?? #Southwest #customerservice,Southwest,negative
681455342,"@SouthwestAir are any flights leaving DC today? Flight was Cancelled Flightled, been on hold for over an hour.",Southwest,negative
681455343,@SouthwestAir - you can do better than having someone on hold for over an hr http://t.co/FxNv618B1A,Southwest,negative
681455344,@SouthwestAir We have been waiting for almost 3 hours trying to rebook flights. PLEASE help us get through to someone.,Southwest,negative
681455345,"@SouthwestAir flight 3970, bna-rdu had the most excellent crew today",Southwest,positive
681455347,@SouthwestAir Never felt better taken care of! Indian aunties are the gold standard. Thanks Aruna! http://t.co/aypyaDUY6a,Southwest,positive
681455348,@SouthwestAir I'm stuck in Fort Lauderdale.,Southwest,negative
681455349,"@SouthwestAir 2 hours on hold trying to reschedule Cancelled Flightled flight. Hold music stopped, but no one's answering. How can I reach a rep?",Southwest,negative
681455350,@SouthwestAir I thought you guys were the best airline...I've been on hold for an hour!,Southwest,negative
681455351,@SouthwestAir @SouthwestOliver that's a great FA right there.,Southwest,positive
681455354,"@SouthwestAir can't speak with customer service for 2hours, still on hold! Do you guys work?#nogood",Southwest,negative
681455355,"@SouthwestAir Seriously, is the reason for all the Cancelled Flightled flights and long phone wait times that you guys are tremendously understaffed?",Southwest,negative
681455356,"@SouthwestAir VERY frustrated. Saw seats avail. online for pref alt. flight, unable to book online, lost those seats during &gt;2 hr phone hold",Southwest,negative
681455357,@southwestair @cspkcats let us know if we can help,Southwest,neutral
681455359,@SouthwestAir On hold waiting to make special accommodations for my mom who is traveling 1 hour and 24 minutes on hold.  Unacceptable!,Southwest,negative
681455360,@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY,Southwest,positive
681455362,@SouthwestAir this is ridiculous. It's been 2 hours on hold to rebook Cancelled Flightled flight.,Southwest,negative
681455363,@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated,Southwest,negative
681455364,"@SouthwestAir I thank you for the reply but too complicated to DM, really would like to talk to a cust rep. What is going on there?",Southwest,negative
681455365,@SouthwestAir Can't DM you because you don't follow me.,Southwest,negative
681455366,@SouthwestAir Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?,Southwest,negative
681455367,@SouthwestAir - been on hold forever. My first flight was Cancelled Flightled but my 2nd flight is still on time - HELP!,Southwest,negative
681455368,@SouthwestAir hello #SouthwestAir I'm  happy to be flying with you this morning DAL-MDW #4053 looking forward to a comfortable fight,Southwest,positive
681455369,@SouthwestAir is anyone answering phones to rebook Cancelled Flightled flights?,Southwest,negative
681455370,@southwestair your attendants at the ATL airport are awesome! Very helpful with all the Cancelled Flightlations this morning.,Southwest,positive
681455371,"@SouthwestAir customer svc worse than the #WinterWeather !  Flight Cancelled Flighted, website malfunction, on hold for &gt;1:34. http://t.co/PgwUkrpMOx",Southwest,negative
681455372,@SouthwestAir flt 3867 crew  #OrangeCounty to #Denver is The #BEST! Weather delay but pilots just invited the kids to see the cockpit! #luv,Southwest,positive
681455373,@SouthwestAir I will never choose @USAirways over you again! #getmeoffthisbird,Southwest,negative
681455374,@SouthwestAir had an amazing experience with your staff at DIA last night. I was blown away by their hospitality with my wife on crutches,Southwest,positive
681455375,@SouthwestAir been on hold now for 1 hour 20 minutes with cust service. Can you help?,Southwest,negative
681455376,@SouthwestAir too long to wait for bags when they could have been on the next flight out. The party of 4 could have waited in Albany,Southwest,negative
681455377,"@SouthwestAir where are our pilots? Plane is here flight says it's still on time, but we should of been off the ground 15 minutes ago.",Southwest,negative
681455378,@SouthwestAir Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV,Southwest,positive
681455380,@SouthwestAir answered. My options are a refund or a resched for Monday (I'd miss work). So I'm paying hundreds for a @USAirways flight tmw.,Southwest,negative
681455381,@SouthwestAir on hold for over an hour twice?  Terrible.,Southwest,negative
681455382,@SouthwestAir my flight is Cancelled Flightled due to weather. What next ?,Southwest,negative
681455383,@SouthwestAir crazy hold times today. Over an hour now. Help?,Southwest,negative
681455384,@SouthwestAir  been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? @SouthwestAir  #BNA,Southwest,negative
681455388,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,Southwest,negative
681455389,@SouthwestAir Been on hold for over an hour - any chance someone can help me on here?,Southwest,negative
